date,tmax,tmin,prec,source,jd,updated_at
2025-09-01,,,0.0,forecast,244,2025-09-01 15:38:55.744253-03:00
2025-09-02,,,0.0,forecast,245,2025-09-02 06:29:14.831099-03:00
2025-09-03,,,0.0,forecast,246,2025-09-03 06:27:38.311032-03:00
2025-09-04,13.0,1.0,0.0,forecast,247,2025-09-04 13:44:54.816593-03:00
2025-09-05,15.0,0.0,0.0,forecast,248,2025-09-04 13:44:54.816593-03:00
2025-09-06,14.0,1.0,0.0,forecast,249,2025-09-04 13:44:54.816593-03:00
2025-09-07,16.0,2.0,0.0,forecast,250,2025-09-04 13:44:54.816593-03:00
2025-09-08,20.0,3.0,0.0,forecast,251,2025-09-04 13:44:54.816593-03:00
2025-09-09,23.0,6.0,0.0,forecast,252,2025-09-04 13:44:54.816593-03:00
2025-09-10,24.0,10.0,0.0,forecast,253,2025-09-04 13:44:54.816593-03:00
2025-09-11,20.0,7.0,0.0,forecast,254,2025-09-04 13:44:54.816593-03:00
